         88803 function calls (81749 primitive calls) in 0.067 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Scoper.py:1(<module>)
        5    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        3    0.000    0.000    0.002    0.001 C:\Users\twshe\conda\envs\py310\lib\ast.py:33(parse)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       11    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        6    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:824(visit_If)
     1725    0.001    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Collections.py:31(add)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        3    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\JSON.py:4(dump_json)
        3    0.001    0.000    0.001    0.000 {built-in method ujson.dumps}
        1    0.000    0.000    0.001    0.001 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Symtable.py:1(<module>)
       55    0.000    0.000    0.001    0.000 C:\Users\twshe\conda\envs\py310\lib\inspect.py:3197(__str__)
      119    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       12    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:697(visit_Return)
        3    0.001    0.000    0.001    0.000 {built-in method io.open}
        9    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:786(visit_While)
      744    0.001    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:145(pos_ind)
      216    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:171(load_name_)
       30    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:219(before_visit)
     5322    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       24    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:520(visit_Attribute)
     2817    0.001    0.000    0.001    0.000 {method 'extend' of 'bytearray' objects}
     6170    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       11    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      110    0.000    0.000    0.001    0.000 C:\Users\twshe\conda\envs\py310\lib\inspect.py:2911(__init__)
       55    0.000    0.000    0.001    0.000 C:\Users\twshe\conda\envs\py310\lib\inspect.py:1962(_signature_bound_method)
        3    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:865(visit_Try)
      222    0.000    0.000    0.001    0.000 C:\Users\twshe\conda\envs\py310\lib\dataclasses.py:819(_set_new_attribute)
      174    0.000    0.000    0.001    0.000 C:\Users\twshe\conda\envs\py310\lib\inspect.py:2712(__str__)
      229    0.000    0.000    0.001    0.000 C:\Users\twshe\conda\envs\py310\lib\inspect.py:2628(__init__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        3    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:383(visit_Lambda)
    15/12    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:341(visit_BinOp)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     3414    0.001    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Collections.py:38(order)
      522    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     1110    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
      870    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
      519    0.000    0.000    0.001    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\TraffyAsm.py:65(hasCont)
       11    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       12    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:439(visit_Compare)
        9    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:790(<listcomp>)
     1150    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFB265D7CD0}
        3    0.000    0.000    0.000    0.000 C:\Users\twshe\conda\envs\py310\lib\enum.py:179(__new__)
       55    0.000    0.000    0.000    0.000 C:\Users\twshe\conda\envs\py310\lib\dataclasses.py:393(_recursive_repr)
       30    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:99(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        6    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:832(<listcomp>)
     5661    0.000    0.000    0.000    0.000 {method 'append' of 'bytearray' objects}
       14    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       55    0.000    0.000    0.000    0.000 C:\Users\twshe\conda\envs\py310\lib\inspect.py:3005(replace)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      402    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:56(const_to_variant)
        3    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    54/39    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Scoper.py:107(visit)
    54/45    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:45(visit)
      144    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:277(visit_Constant)
       55    0.000    0.000    0.000    0.000 C:\Users\twshe\conda\envs\py310\lib\functools.py:35(update_wrapper)
      110    0.000    0.000    0.000    0.000 C:\Users\twshe\conda\envs\py310\lib\inspect.py:612(unwrap)
        2    0.000    0.000    0.000    0.000 C:\Users\twshe\conda\envs\py310\lib\collections\__init__.py:328(namedtuple)
      649    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
      229    0.000    0.000    0.000    0.000 C:\Users\twshe\conda\envs\py310\lib\inspect.py:1357(formatannotation)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       78    0.000    0.000    0.000    0.000 C:\Users\twshe\Desktop\NCPy\UnityPython\unitypython\Transpile.py:181(store_name_)
        7    0.000    0.000    0.000    0.000 C:\Users\twshe\conda\envs\py310\lib\abc.py:105(__new__)
     2757    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
